train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "doubles" 100 50 0.5 "good" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 17 24 5 13 26 
 16 21 5 13 23 
 14 20 5 13 22 
 15 20 5 13 22 
 15 21 5 13 23 
 16 22 5 13 24 
 15 22 5 13 24 
 17 22 5 13 24 
 18 24 5 13 26 
 16 21 5 13 23 
 16 22 5 13 24 
 15 21 5 13 23 
 18 24 5 13 26 
 15 20 5 13 22 
 17 22 5 13 24 
 15 21 5 13 23 
 16 22 5 13 24 
 15 20 5 13 22 
 15 20 5 13 22 
 16 21 5 13 23 
 18 24 5 13 26 
 17 23 5 13 25 
 14 20 5 13 22 
 16 21 5 13 23 
 18 24 5 13 26 
 16 21 5 13 23 
 19 23 5 13 25 
 16 22 5 13 24 
 18 24 5 13 26 
 17 22 5 13 24 
 15 21 4 12 23 
 16 22 5 13 24 
 17 24 5 13 26 
 14 20 5 13 22 
 14 21 5 13 23 
 15 21 5 13 23 
 16 22 5 13 24 
 17 22 5 13 24 
 14 20 5 13 22 
 15 20 5 13 22 
 16 22 5 13 24 
 16 21 5 13 23 
 17 24 5 13 26 
 17 22 5 13 24 
 16 23 5 13 25 
 17 22 5 13 24 
 16 22 5 13 24 
 15 21 5 13 23 
 16 22 5 13 24 
 14 20 5 13 22 
 18 23 5 13 25 
 16 21 5 13 23 
 15 20 5 13 22 
 17 22 5 13 24 
 16 23 5 13 25 
 15 21 5 13 23 
 14 19 4 12 21 
 17 22 5 13 24 
 15 21 5 13 23 
 14 20 4 12 22 
 14 20 5 13 22 
 14 19 5 13 21 
 15 21 5 13 23 
 14 20 5 13 22 
 17 23 5 13 25 
 15 22 5 13 24 
 19 24 5 13 26 
 16 21 5 13 23 
 15 21 5 13 23 
 15 20 5 13 22 
 18 25 5 13 27 
 14 19 5 13 21 
 15 21 5 13 23 
 17 22 5 13 24 
 17 22 5 13 24 
 18 23 5 13 25 
 17 24 5 13 26 
 16 22 5 13 24 
 17 22 5 13 24 
 19 24 5 13 26 
 17 24 5 13 26 
 20 25 5 13 27 
 16 22 5 13 24 
 15 20 5 13 22 
 15 21 5 13 23 
 15 21 5 13 23 
 19 25 5 13 27 
 18 23 5 13 25 
 17 23 5 13 25 
 15 21 5 13 23 
 14 20 4 12 22 
 16 21 5 13 23 
 15 20 5 13 22 
 21 26 5 13 28 
 22 26 5 13 28 
 15 21 5 13 23 
 17 24 5 13 26 
 16 22 5 13 24 
 15 21 5 13 23 
 16 21 5 13 23 
