train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "doubles" 200 101 0.5 "mixed" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 23 31 5 13 33 
 23 27 5 13 29 
 29 34 5 13 36 
 30 35 5 13 37 
 28 32 5 13 34 
 20 26 4 12 28 
 33 37 5 13 39 
 32 37 5 13 39 
 30 37 5 13 39 
 20 27 5 13 29 
 26 31 5 13 33 
 21 28 5 13 30 
 27 30 5 13 32 
 32 40 5 13 42 
 32 36 5 13 38 
 28 34 5 13 36 
 27 30 5 13 32 
 22 27 5 13 29 
 26 31 5 13 33 
 28 34 5 13 36 
 24 32 5 13 34 
 22 28 5 13 30 
 28 31 5 13 33 
 26 31 5 13 33 
 26 33 5 13 35 
 22 27 5 13 29 
 21 26 5 13 28 
 26 30 5 13 32 
 23 29 5 13 31 
 32 36 5 13 38 
 23 27 5 13 29 
 23 28 5 13 30 
 21 26 5 13 28 
 28 31 5 13 33 
 29 38 5 13 40 
 21 27 5 13 29 
 25 29 5 13 31 
 35 40 5 13 42 
 32 37 5 13 39 
 23 29 5 13 31 
 24 28 5 13 30 
 24 30 5 13 32 
 25 30 5 13 32 
 29 33 5 13 35 
 23 31 5 13 33 
 25 31 5 13 33 
 20 25 5 13 27 
 27 31 5 13 33 
 29 33 5 13 35 
 22 28 5 13 30 
 23 29 5 13 31 
 30 36 5 13 38 
 25 30 5 13 32 
 24 29 5 13 31 
 27 33 5 13 35 
 33 41 5 13 43 
 28 35 5 13 37 
 22 26 5 13 28 
 26 32 5 13 34 
 21 26 5 13 28 
 33 37 5 13 39 
 37 41 5 13 43 
 21 29 5 13 31 
 21 26 5 13 28 
 27 35 5 13 37 
 26 32 5 13 34 
 26 31 5 13 33 
 21 26 5 13 28 
 25 30 5 13 32 
 25 29 4 12 31 
 21 25 5 13 27 
 27 31 5 13 33 
 25 29 5 13 31 
 22 28 5 13 30 
 27 31 5 13 33 
 29 33 5 13 35 
 23 27 5 13 29 
 20 25 5 13 27 
 30 36 5 13 38 
 23 28 5 13 30 
 21 27 5 13 29 
 25 32 5 13 34 
 29 33 5 13 35 
 31 35 5 13 37 
 21 27 5 13 29 
 27 33 5 13 35 
 32 36 5 13 38 
 25 31 5 13 33 
 37 43 5 13 45 
 21 27 5 13 29 
 25 33 5 13 35 
 25 29 5 13 31 
 22 29 5 13 31 
 20 27 5 13 29 
 21 27 5 13 29 
 20 24 5 13 26 
 29 34 5 13 36 
 21 28 5 13 30 
 28 32 5 13 34 
 20 26 5 13 28 
