train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "doubles" 50 25 1 "good" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 16 22 5 13 24 
 13 19 5 13 21 
 15 22 5 13 24 
 12 19 5 13 21 
 14 20 5 13 22 
 14 20 5 13 22 
 16 23 5 13 25 
 12 19 5 13 21 
 14 21 5 13 23 
 14 21 5 13 23 
 12 19 5 13 21 
 13 20 5 13 22 
 13 19 5 13 21 
 13 20 5 13 22 
 15 21 5 13 23 
 11 17 5 13 19 
 15 21 5 13 23 
 12 19 5 13 21 
 15 21 5 13 23 
 13 20 5 13 22 
 15 21 5 13 23 
 14 20 5 13 22 
 13 19 5 13 21 
 12 19 5 13 21 
 12 18 5 13 20 
 15 22 5 13 24 
 13 19 4 12 21 
 16 23 5 13 25 
 12 19 5 13 21 
 18 25 5 13 27 
 14 19 5 13 21 
 17 24 5 13 26 
 14 21 5 13 23 
 13 19 5 13 21 
 14 20 5 13 22 
 16 22 5 13 24 
 13 20 5 13 22 
 13 19 5 13 21 
 15 22 5 13 24 
 14 20 5 13 22 
 14 21 5 13 23 
 12 19 5 13 21 
 12 19 5 13 21 
 14 20 5 13 22 
 16 22 5 13 24 
 13 20 5 13 22 
 13 20 5 13 22 
 16 23 5 13 25 
 14 20 5 13 22 
 13 20 5 13 22 
 12 19 5 13 21 
 18 24 5 13 26 
 16 23 5 13 25 
 15 22 5 13 24 
 15 22 5 13 24 
 16 22 5 13 24 
 14 21 5 13 23 
 15 22 5 13 24 
 13 20 5 13 22 
 15 22 5 13 24 
 13 20 5 13 22 
 13 20 5 13 22 
 16 23 5 13 25 
 12 19 5 13 21 
 14 21 5 13 23 
 16 22 5 13 24 
 14 18 5 13 20 
 14 20 5 13 22 
 13 20 5 13 22 
 14 21 5 13 23 
 12 19 5 13 21 
 13 19 5 13 21 
 15 22 5 13 24 
 11 18 5 13 20 
 12 18 5 13 20 
 13 20 5 13 22 
 14 21 5 13 23 
 13 19 5 13 21 
 15 22 5 13 24 
 13 20 5 13 22 
 13 19 5 13 21 
 14 20 4 12 22 
 12 19 5 13 21 
 14 21 5 13 23 
 13 19 5 13 21 
 12 19 5 13 21 
 13 19 5 13 21 
 16 23 5 13 25 
 13 20 5 13 22 
 15 21 5 13 23 
 13 20 5 13 22 
 15 22 5 13 24 
 17 23 5 13 25 
 15 22 5 13 24 
 15 22 5 13 24 
 15 21 5 13 23 
 16 22 5 13 24 
 14 21 5 13 23 
 14 21 5 13 23 
 13 19 5 13 21 
