train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 100 50 0.5 "bad" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 10 17 5 13 19 
 10 16 5 13 18 
 9 18 5 13 20 
 8 16 5 13 18 
 12 19 5 13 21 
 11 17 5 13 19 
 9 16 5 13 18 
 11 16 5 13 18 
 13 20 5 13 22 
 8 15 5 13 17 
 10 18 5 13 20 
 10 17 5 13 19 
 7 17 5 13 19 
 9 15 5 13 17 
 9 18 4 12 20 
 11 17 5 13 19 
 9 16 5 13 18 
 8 14 5 13 16 
 10 16 5 13 18 
 9 16 5 13 18 
 9 18 5 13 20 
 9 16 5 13 18 
 8 16 5 13 18 
 10 16 5 13 18 
 10 20 5 13 22 
 8 14 5 13 16 
 10 17 5 13 19 
 12 17 5 13 19 
 12 17 5 13 19 
 11 19 5 13 21 
 10 16 5 13 18 
 10 16 5 13 18 
 10 17 5 13 19 
 11 17 5 13 19 
 10 16 5 13 18 
 9 15 5 13 17 
 13 20 5 13 22 
 9 15 5 13 17 
 10 20 5 13 22 
 9 15 5 13 17 
 9 14 5 13 16 
 9 16 5 13 18 
 8 15 5 13 17 
 9 15 5 13 17 
 13 19 5 13 21 
 9 15 5 13 17 
 10 16 5 13 18 
 8 16 5 13 18 
 8 14 5 13 16 
 8 17 5 13 19 
 8 17 5 13 19 
 10 15 5 13 17 
 9 15 5 13 17 
 7 15 5 13 17 
 9 15 5 13 17 
 10 16 5 13 18 
 9 15 5 13 17 
 8 14 5 13 16 
 9 16 5 13 18 
 9 15 5 13 17 
 10 18 5 13 20 
 8 15 5 13 17 
 9 18 5 13 20 
 9 15 5 13 17 
 9 17 4 12 19 
 10 15 5 13 17 
 9 14 5 13 16 
 10 15 5 13 17 
 9 16 5 13 18 
 10 17 5 13 19 
 8 17 5 13 19 
 9 15 5 13 17 
 8 14 5 13 16 
 8 14 5 13 16 
 10 15 5 13 17 
 9 15 5 13 17 
 12 19 5 13 21 
 13 19 5 13 21 
 8 15 5 13 17 
 12 19 5 13 21 
 11 17 5 13 19 
 10 16 5 13 18 
 9 15 5 13 17 
 8 15 5 13 17 
 9 15 5 13 17 
 11 16 5 13 18 
 8 16 5 13 18 
 11 18 5 13 20 
 8 14 4 12 16 
 10 17 5 13 19 
 8 17 5 13 19 
 9 17 5 13 19 
 10 16 5 13 18 
 8 15 5 13 17 
 12 19 5 13 21 
 11 18 5 13 20 
 8 17 5 13 19 
 8 14 5 13 16 
 10 15 5 13 17 
 9 16 5 13 18 
