train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 100 50 0 "mixed" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 15 21 5 13 23 
 12 19 5 13 21 
 14 21 5 13 23 
 16 24 5 13 26 
 16 22 5 13 24 
 14 19 5 13 21 
 18 22 5 13 24 
 13 20 5 13 22 
 19 24 5 13 26 
 16 22 5 13 24 
 15 21 4 12 23 
 12 22 5 13 24 
 14 20 5 13 22 
 14 20 5 13 22 
 15 21 5 13 23 
 15 24 5 13 26 
 17 26 5 13 28 
 15 21 5 13 23 
 13 20 5 13 22 
 14 20 5 13 22 
 16 23 5 13 25 
 15 22 5 13 24 
 14 21 5 13 23 
 18 24 5 13 26 
 17 26 5 13 28 
 15 20 5 13 22 
 14 21 5 13 23 
 13 19 5 13 21 
 14 23 5 13 25 
 14 21 5 13 23 
 14 20 5 13 22 
 16 23 5 13 25 
 13 21 5 13 23 
 12 18 5 13 20 
 14 22 5 13 24 
 15 21 5 13 23 
 15 20 5 13 22 
 14 22 5 13 24 
 16 24 5 13 26 
 17 24 5 13 26 
 13 19 5 13 21 
 14 21 5 13 23 
 18 24 5 13 26 
 14 22 5 13 24 
 13 21 5 13 23 
 17 25 5 13 27 
 15 22 4 12 24 
 14 24 5 13 26 
 14 20 5 13 22 
 14 23 5 13 25 
 16 23 5 13 25 
 14 23 5 13 25 
 14 19 5 13 21 
 21 28 5 13 30 
 15 22 5 13 24 
 13 21 5 13 23 
 16 23 5 13 25 
 18 25 5 13 27 
 17 25 5 13 27 
 13 22 5 13 24 
 16 25 5 13 27 
 21 28 5 13 30 
 17 24 5 13 26 
 17 24 5 13 26 
 14 22 5 13 24 
 11 17 5 13 19 
 17 24 5 13 26 
 14 21 5 13 23 
 20 26 5 13 28 
 13 22 5 13 24 
 13 20 5 13 22 
 14 20 5 13 22 
 14 20 5 13 22 
 14 19 5 13 21 
 13 20 5 13 22 
 17 24 5 13 26 
 15 20 5 13 22 
 13 21 5 13 23 
 14 23 5 13 25 
 15 21 5 13 23 
 12 21 5 13 23 
 15 21 5 13 23 
 19 27 5 13 29 
 15 22 5 13 24 
 14 20 5 13 22 
 13 18 5 13 20 
 16 23 5 13 25 
 16 20 5 13 22 
 14 20 5 13 22 
 17 26 5 13 28 
 17 22 5 13 24 
 12 18 5 13 20 
 16 23 5 13 25 
 16 24 5 13 26 
 15 21 5 13 23 
 14 20 5 13 22 
 20 26 5 13 28 
 17 21 5 13 23 
 16 24 5 13 26 
 15 20 5 13 22 
