train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 100 50 1 "bad" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 12 18 5 13 20 
 10 15 5 13 17 
 12 17 5 13 19 
 10 17 5 13 19 
 13 19 5 13 21 
 11 16 5 13 18 
 8 16 5 13 18 
 9 15 5 13 17 
 10 17 5 13 19 
 10 17 5 13 19 
 11 16 5 13 18 
 9 16 5 13 18 
 10 17 5 13 19 
 13 19 5 13 21 
 14 21 5 13 23 
 10 16 5 13 18 
 11 16 5 13 18 
 9 15 5 13 17 
 12 19 5 13 21 
 9 15 5 13 17 
 11 18 5 13 20 
 9 15 5 13 17 
 12 18 5 13 20 
 11 17 5 13 19 
 12 16 5 13 18 
 10 19 5 13 21 
 15 21 5 13 23 
 13 19 4 12 21 
 12 18 5 13 20 
 12 17 4 12 19 
 11 17 5 13 19 
 9 17 5 13 19 
 14 20 5 13 22 
 13 20 5 13 22 
 9 15 5 13 17 
 9 16 5 13 18 
 11 18 5 13 20 
 12 18 5 13 20 
 9 19 5 13 21 
 12 18 5 13 20 
 11 17 5 13 19 
 10 17 5 13 19 
 11 18 5 13 20 
 12 19 5 13 21 
 10 19 5 13 21 
 10 16 5 13 18 
 8 14 5 13 16 
 10 16 5 13 18 
 9 15 5 13 17 
 13 23 5 13 25 
 10 15 5 13 17 
 10 19 5 13 21 
 11 18 5 13 20 
 13 19 5 13 21 
 10 17 5 13 19 
 11 17 5 13 19 
 10 15 5 13 17 
 13 18 5 13 20 
 12 19 5 13 21 
 12 20 5 13 22 
 9 15 4 12 17 
 10 16 5 13 18 
 13 19 5 13 21 
 10 16 5 13 18 
 11 16 5 13 18 
 11 17 5 13 19 
 13 19 5 13 21 
 9 16 5 13 18 
 12 19 5 13 21 
 13 20 5 13 22 
 13 18 5 13 20 
 13 19 4 12 21 
 9 15 5 13 17 
 9 18 5 13 20 
 11 17 5 13 19 
 12 18 5 13 20 
 13 22 5 13 24 
 11 16 5 13 18 
 9 15 5 13 17 
 10 16 5 13 18 
 10 16 5 13 18 
 10 20 5 13 22 
 9 14 5 13 16 
 14 21 5 13 23 
 10 17 5 13 19 
 11 18 5 13 20 
 13 20 5 13 22 
 13 18 5 13 20 
 12 18 5 13 20 
 9 17 5 13 19 
 10 16 5 13 18 
 13 18 5 13 20 
 9 15 5 13 17 
 12 18 5 13 20 
 11 18 5 13 20 
 9 18 5 13 20 
 10 18 5 13 20 
 11 17 5 13 19 
 12 18 5 13 20 
 11 18 5 13 20 
