train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 200 101 0.5 "good" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 21 24 5 13 26 
 19 23 5 13 25 
 20 25 5 13 27 
 20 24 5 13 26 
 19 23 5 13 25 
 22 30 5 13 32 
 20 23 5 13 25 
 20 23 5 13 25 
 20 24 5 13 26 
 24 27 5 13 29 
 19 24 5 13 26 
 20 24 5 13 26 
 20 27 5 13 29 
 19 26 5 13 28 
 19 24 5 13 26 
 19 23 5 13 25 
 22 26 5 13 28 
 22 25 5 13 27 
 20 24 5 13 26 
 21 25 5 13 27 
 19 24 5 13 26 
 21 25 5 13 27 
 21 28 5 13 30 
 21 27 5 13 29 
 18 24 5 13 26 
 20 25 5 13 27 
 22 29 5 13 31 
 21 26 5 13 28 
 24 28 5 13 30 
 22 27 5 13 29 
 21 25 5 13 27 
 20 23 5 13 25 
 19 24 5 13 26 
 22 26 5 13 28 
 21 27 5 13 29 
 21 28 5 13 30 
 20 24 5 13 26 
 19 23 5 13 25 
 18 23 5 13 25 
 19 24 5 13 26 
 20 25 5 13 27 
 19 25 5 13 27 
 19 24 5 13 26 
 24 27 5 13 29 
 19 23 5 13 25 
 19 24 5 13 26 
 21 25 5 13 27 
 20 25 5 13 27 
 19 24 5 13 26 
 18 23 5 13 25 
 19 26 5 13 28 
 20 25 5 13 27 
 20 23 5 13 25 
 21 27 5 13 29 
 21 30 5 13 32 
 19 25 5 13 27 
 19 25 5 13 27 
 20 24 5 13 26 
 18 24 5 13 26 
 21 29 5 13 31 
 21 27 5 13 29 
 20 26 5 13 28 
 20 27 5 13 29 
 22 26 5 13 28 
 21 27 5 13 29 
 19 24 5 13 26 
 20 29 5 13 31 
 23 30 5 13 32 
 19 23 5 13 25 
 20 23 5 13 25 
 21 24 5 13 26 
 20 24 5 13 26 
 20 26 5 13 28 
 18 24 5 13 26 
 20 25 5 13 27 
 19 23 5 13 25 
 19 24 5 13 26 
 20 26 5 13 28 
 22 26 5 13 28 
 21 24 5 13 26 
 19 24 5 13 26 
 26 34 5 13 36 
 19 24 5 13 26 
 20 24 5 13 26 
 23 28 5 13 30 
 18 25 5 13 27 
 21 27 5 13 29 
 18 23 5 13 25 
 20 25 5 13 27 
 20 27 5 13 29 
 19 25 5 13 27 
 19 24 5 13 26 
 17 24 5 13 26 
 20 24 5 13 26 
 23 27 5 13 29 
 19 25 5 13 27 
 19 24 5 13 26 
 21 27 5 13 29 
 21 25 5 13 27 
 20 25 5 13 27 
