train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 200 101 0.5 "mixed" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 18 22 5 13 24 
 17 23 5 13 25 
 21 27 5 13 29 
 17 23 5 13 25 
 16 22 5 13 24 
 18 23 5 13 25 
 18 22 5 13 24 
 15 21 4 12 23 
 16 21 5 13 23 
 16 22 5 13 24 
 17 22 5 13 24 
 18 26 5 13 28 
 19 23 5 13 25 
 19 24 5 13 26 
 20 25 5 13 27 
 18 22 5 13 24 
 17 26 5 13 28 
 19 23 5 13 25 
 18 22 5 13 24 
 18 22 5 13 24 
 17 22 5 13 24 
 21 25 5 13 27 
 18 22 5 13 24 
 17 23 5 13 25 
 17 24 5 13 26 
 15 23 5 13 25 
 17 22 5 13 24 
 16 22 5 13 24 
 19 26 5 13 28 
 17 23 5 13 25 
 15 22 5 13 24 
 16 21 5 13 23 
 19 25 5 13 27 
 19 22 4 12 24 
 16 20 4 12 22 
 18 24 5 13 26 
 16 21 5 13 23 
 19 24 5 13 26 
 17 22 5 13 24 
 17 21 5 13 23 
 18 22 5 13 24 
 16 24 5 13 26 
 20 28 5 13 30 
 23 27 5 13 29 
 16 20 5 13 22 
 18 22 5 13 24 
 17 23 5 13 25 
 17 22 5 13 24 
 17 22 5 13 24 
 17 22 5 13 24 
 18 21 5 13 23 
 19 22 5 13 24 
 18 24 5 13 26 
 17 23 5 13 25 
 17 24 5 13 26 
 16 23 5 13 25 
 16 21 5 13 23 
 18 21 5 13 23 
 19 24 5 13 26 
 19 25 5 13 27 
 18 22 5 13 24 
 17 22 5 13 24 
 16 22 5 13 24 
 20 25 5 13 27 
 19 25 5 13 27 
 24 30 5 13 32 
 17 21 5 13 23 
 18 26 5 13 28 
 19 24 5 13 26 
 18 22 5 13 24 
 15 21 5 13 23 
 17 21 5 13 23 
 18 23 5 13 25 
 15 21 5 13 23 
 19 22 5 13 24 
 18 23 5 13 25 
 16 23 5 13 25 
 17 25 5 13 27 
 18 20 5 13 22 
 18 23 5 13 25 
 16 23 5 13 25 
 16 22 5 13 24 
 17 20 5 13 22 
 17 22 5 13 24 
 17 22 5 13 24 
 19 22 5 13 24 
 19 23 5 13 25 
 17 22 5 13 24 
 19 23 5 13 25 
 21 24 5 13 26 
 20 24 5 13 26 
 19 27 5 13 29 
 18 23 5 13 25 
 18 22 5 13 24 
 16 20 5 13 22 
 18 26 5 13 28 
 17 22 5 13 24 
 19 23 5 13 25 
 19 22 5 13 24 
 15 22 5 13 24 
