train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "lines" 200 101 0 "good" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 28 34 5 13 36 
 28 30 5 13 32 
 24 28 5 13 30 
 25 31 5 13 33 
 25 32 5 13 34 
 30 37 5 13 39 
 27 35 5 13 37 
 27 35 5 13 37 
 21 30 5 13 32 
 30 35 5 13 37 
 25 31 5 13 33 
 30 33 5 13 35 
 31 37 5 13 39 
 28 33 5 13 35 
 27 33 5 13 35 
 26 33 5 13 35 
 27 33 5 13 35 
 30 38 5 13 40 
 27 36 5 13 38 
 26 32 5 13 34 
 27 30 5 13 32 
 28 32 5 13 34 
 26 31 5 13 33 
 23 32 5 13 34 
 27 35 5 13 37 
 26 31 5 13 33 
 27 35 5 13 37 
 28 31 5 13 33 
 29 31 5 13 33 
 23 29 4 12 31 
 25 33 5 13 35 
 27 35 5 13 37 
 25 32 5 13 34 
 29 31 5 13 33 
 23 29 5 13 31 
 26 30 5 13 32 
 25 31 5 13 33 
 25 34 5 13 36 
 28 35 5 13 37 
 29 37 5 13 39 
 26 29 5 13 31 
 25 32 5 13 34 
 31 38 5 13 40 
 27 33 5 13 35 
 26 33 5 13 35 
 27 34 5 13 36 
 24 29 5 13 31 
 22 27 5 13 29 
 28 31 5 13 33 
 26 32 5 13 34 
 27 32 5 13 34 
 25 32 5 13 34 
 27 34 5 13 36 
 28 30 5 13 32 
 28 36 5 13 38 
 27 31 5 13 33 
 26 30 5 13 32 
 21 30 5 13 32 
 22 29 5 13 31 
 26 32 5 13 34 
 27 30 5 13 32 
 23 31 5 13 33 
 26 32 5 13 34 
 28 35 5 13 37 
 25 31 5 13 33 
 33 37 5 13 39 
 23 32 5 13 34 
 25 29 5 13 31 
 25 34 5 13 36 
 31 38 5 13 40 
 22 27 5 13 29 
 22 27 5 13 29 
 26 32 4 12 34 
 26 33 5 13 35 
 25 29 5 13 31 
 25 30 5 13 32 
 25 32 5 13 34 
 27 33 5 13 35 
 26 30 5 13 32 
 23 28 5 13 30 
 26 30 5 13 32 
 25 31 5 13 33 
 25 32 5 13 34 
 23 32 5 13 34 
 25 30 5 13 32 
 27 34 5 13 36 
 25 31 5 13 33 
 25 30 5 13 32 
 26 28 5 13 30 
 26 29 5 13 31 
 25 30 5 13 32 
 27 34 5 13 36 
 22 29 5 13 31 
 24 30 5 13 32 
 29 31 5 13 33 
 23 30 5 13 32 
 23 28 5 13 30 
 25 29 5 13 31 
 24 30 5 13 32 
 28 36 5 13 38 
